,2P,2P%,2PA,3P,3P%,3PA,3PAr,AST,AST%,Age_x,BLK,BLK%,BPM,DBPM,DRB,DRB%,DRtg,DWS,FG,FG%,FGA,FT,FT%,FTA,FTr,GS_x,G_x,Ht,Lg_x,MP.1_x,MP_x,OBPM,ORB,ORB%,ORtg,OWS,PER,PF,PTS,Player,STL,STL%,Season_x,TOV,TOV%,TRB,TRB%,TS%_x,Tm_x,USG%,VORP,WS,WS/48,cfga,cfgm,dfga,dfgm,dist,eFG%,ftast,pass,player_year,rimd,sast,spd,tchs
44,1.5,0.461,3.2,1.9,0.344,5.5,0.629,7.3,29.5,35,0.2,0.4,-3.5,-1.8,2.9,9.2,108,0.8,3.4,0.388,8.8,0.6,0.8,0.7,0.083,2,58,6-3,NBA,986,17,-1.8,0.3,1,101,0.3,9.8,2.6,9.3,Steve Blake,0.9,1.2,2015-16,3,24.6,3.2,4.9,0.51,DET,14.6,-0.4,1.1,0.053,0.768518518519,0.259259259259,0.583333333333,0.351851851852,0.703333333333,0.496,0.277777777778,19.8148148148,Steve Blake/2015-16,1.02702702703,0.5,2.52472222222,24.6203703704
36,0.6,0.423,1.4,3.4,0.36,9.4,0.871,1.3,5.4,34,0.4,0.9,-1.4,-2.8,2.9,9,110,0.4,4,0.368,10.8,2.1,0.848,2.5,0.229,2,57,6-8,NBA,669,11.7,1.4,0.5,1.6,117,1.2,11.1,3.6,13.5,James Jones,0.7,1,2014-15,0.7,5.5,3.3,5.3,0.565,CLE,15.8,0.1,1.5,0.11,0.805825242718,0.281553398058,1.14563106796,0.699029126214,0.664077669903,0.525,0.0679611650485,9.91262135922,James Jones/2014-15,1.41176470588,0.0776699029126,3.0945631068,13.2621359223
116,1.7,0.538,3.2,2.4,0.406,5.8,0.646,1.8,7.9,28,0.2,0.4,-2.5,-1.8,1.3,4.1,109,0.7,4.1,0.452,9,0.6,0.696,0.8,0.087,2,68,6-10,NBA,1047,15.4,-0.7,0.3,0.9,105,0.6,8.2,2.7,11.1,Damjan Rudez,0.6,0.8,2014-15,1.6,14.7,1.6,2.5,0.591,IND,13.8,-0.1,1.3,0.061,0.853658536585,0.390243902439,0.536585365854,0.256097560976,0.887317073171,0.584,0.0975609756098,10.7073170732,Damjan Rudez/2014-15,0.677419354839,0.182926829268,3.46036585366,14.8414634146
105,1.1,0.363,3,2.7,0.351,7.7,0.722,2.3,9.3,23,0.3,0.6,-2.8,-0.4,5.2,15.6,108,1.1,3.8,0.354,10.6,0.5,0.778,0.7,0.063,0,57,6-6,NBA,976,17.1,-2.4,0.4,1.2,95,-0.5,7.3,3.2,10.7,Denzel Valentine,1.1,1.5,2016-17,1.8,14.2,5.6,8.3,0.492,CHI,15.4,-0.2,0.6,0.031,0.89156626506,0.301204819277,1.14457831325,0.650602409639,0.864457831325,0.481,0.0722891566265,9.87951807229,Denzel Valentine/2016-17,1.22727272727,0.180722891566,3.06060240964,14.5662650602
98,1.8,0.462,4,1.8,0.365,4.9,0.548,1.8,7.1,34,0.5,1,-0.9,-0.7,3.3,10.2,107,0.9,3.6,0.409,8.9,1.2,0.811,1.4,0.161,19,72,6-10,NBA,935,13,-0.2,1.1,3.6,116,1.3,10.1,2.5,10.2,Matt Bonner,0.4,0.5,2014-15,0.4,4.3,4.4,7,0.536,SAS,12.5,0.3,2.1,0.11,0.895348837209,0.383720930233,1.95348837209,0.96511627907,0.832325581395,0.509,0.0581395348837,14.8023255814,Matt Bonner/2014-15,1.53703703704,0.116279069767,4.01372093023,18.1395348837
77,1.7,0.427,4,1.6,0.375,4.3,0.518,2.7,11,28,0.4,1,0.8,1.4,3.2,9.9,102,1.1,3.3,0.4,8.3,1.7,0.729,2.4,0.282,18,52,6-6,NBA,735,14.1,-0.6,1.2,3.8,104,0.4,10.9,3.7,10,Garrett Temple,2.1,2.9,2014-15,1.7,15.1,4.4,6.9,0.534,WAS,13.9,0.5,1.5,0.1,0.9,0.371428571429,0.485714285714,0.257142857143,0.784714285714,0.497,0.0428571428571,10.8571428571,Garrett Temple/2014-15,0.782608695652,0.242857142857,3.42742857143,14.9714285714
81,2.1,0.452,4.6,1.1,0.309,3.6,0.439,0.9,3.2,27,0.3,0.7,-2.5,-0.8,3.4,9.6,108,0.8,3.2,0.389,8.1,1.1,0.659,1.6,0.199,2,68,6-8,NBA,977,14.4,-1.7,1.8,5.9,102,0.3,6.6,4.4,8.5,Kyle Singler,1.1,1.5,2015-16,1.2,11.7,5.2,7.9,0.481,OKC,11.9,-0.1,1.1,0.054,0.916666666667,0.40625,1.23958333333,0.729166666667,0.793333333333,0.457,0.03125,6.71875,Kyle Singler/2015-16,1.34615384615,0.09375,3.41260416667,10.0520833333
1,3.8,0.458,8.3,0.6,0.188,3.4,0.289,4.1,17.2,25,0.1,0.3,-5.5,-2.9,2.3,7.1,111,0.2,4.5,0.38,11.7,3,0.956,3.2,0.271,0,50,6-2,NBA,509,10.2,-2.6,0.6,1.8,97,0,9.8,3,12.6,Jimmer Fredette,1.1,1.5,2014-15,2.3,15.1,2.8,4.5,0.479,NOP,19.6,-0.4,0.2,0.021,0.918604651163,0.360465116279,0.279069767442,0.127906976744,0.432441860465,0.407,0.0813953488372,5.91860465116,Jimmer Fredette/2014-15,0.578947368421,0.116279069767,2.41965116279,8.77906976744
61,1.8,0.396,4.4,0.8,0.37,2.1,0.324,2.5,9.2,28,0.6,1.5,-2.1,1.8,4.1,12.2,107,0.9,2.5,0.387,6.6,1.2,0.625,1.9,0.282,19,62,6-6,NBA,777,12.5,-3.9,0.9,2.9,92,-0.4,7.5,3.8,7,DeAndre Liggins,2.2,3,2016-17,1.9,20.8,5,7.7,0.476,TOT,11.6,0,0.5,0.031,0.961038961039,0.38961038961,0.74025974026,0.428571428571,0.744935064935,0.447,0.0909090909091,10.6233766234,DeAndre Liggins/2016-17,1.06451612903,0.272727272727,3.56766233766,13.5844155844
201,2.4,0.476,5.1,0.1,0.174,0.6,0.1,1.8,7,35,0.3,0.7,-3.1,-0.2,2.8,9,113,0.3,2.5,0.445,5.6,0.3,0.684,0.5,0.083,44,77,6-9,NBA,1462,19,-2.9,0.8,2.6,100,0.1,6.3,1.5,5.4,Tayshaun Prince,0.9,1.2,2015-16,0.7,10.2,3.6,5.8,0.466,MIN,8.1,-0.4,0.4,0.014,0.967032967033,0.406593406593,1.20879120879,0.681318681319,1.05384615385,0.454,0.021978021978,12.9120879121,Tayshaun Prince/2015-16,1.26530612245,0.241758241758,3.35274725275,16.1758241758
21,2.6,0.477,5.5,0.5,0.243,1.9,0.253,4.6,16.7,25,0.3,0.7,-3.1,-0.2,2.9,9.1,111,0.5,3.1,0.418,7.3,1.2,0.697,1.7,0.226,3,57,6-7,NBA,719,12.6,-2.9,1.3,3.9,102,0.1,8.5,3,7.7,Tomas Satoransky,1.3,1.8,2016-17,1.9,19.1,4.2,6.5,0.48,WAS,12.1,-0.2,0.6,0.041,0.968421052632,0.389473684211,0.873684210526,0.494736842105,0.586842105263,0.449,0.115789473684,10.2842105263,Tomas Satoransky/2016-17,1.20512820513,0.157894736842,3.00178947368,13.1368421053
4,3.1,0.444,6.9,1.9,0.321,6,0.464,2.6,10.1,25,0.7,1.4,-1,0.5,3.3,9.7,101,1,5,0.387,12.9,2,0.822,2.5,0.191,4,59,6-6,NBA,657,11.1,-1.4,0.7,2,100,0.2,12.1,3,13.9,Justin Holiday,2.2,3,2014-15,1.6,10.2,4,6,0.498,GSW,18.8,0.2,1.3,0.092,0.970297029703,0.386138613861,0.514851485149,0.247524752475,0.483663366337,0.462,0.039603960396,5.94059405941,Justin Holiday/2014-15,0.78125,0.0990099009901,2.74227722772,8.86138613861
7,2.9,0.44,6.5,1,0.246,3.9,0.374,7,28,23,0.4,0.8,-2.2,0,4,12.4,104,0.7,3.8,0.368,10.4,2,0.673,2.9,0.282,0,50,5-11,NBA,600,12,-2.3,0.8,2.3,97,0,11.8,3.2,10.6,Phil Pressey,1.8,2.5,2014-15,2.5,17.3,4.8,7.3,0.453,BOS,17.3,0,0.8,0.06,0.976744186047,0.395348837209,0.337209302326,0.209302325581,0.516744186047,0.414,0.162790697674,13.5581395349,Phil Pressey/2014-15,0.75,0.290697674419,2.65837209302,17.1046511628
194,1.2,0.531,2.3,2.3,0.386,6.1,0.722,2.8,12.1,28,0.1,0.3,0.1,0.4,3.8,12.4,105,1.6,3.6,0.426,8.4,0.4,0.722,0.5,0.062,2,81,6-8,NBA,1241,15.3,-0.3,0.6,1.8,105,0.7,10.3,2.8,9.9,Joe Ingles,1.6,2.3,2015-16,1.9,17.9,4.4,7.1,0.572,UTA,13.5,0.7,2.3,0.089,0.987804878049,0.439024390244,0.756097560976,0.40243902439,1.03597560976,0.565,0.268292682927,20.0243902439,Joe Ingles/2015-16,0.970588235294,0.19512195122,4.10743902439,25.2926829268
39,2.7,0.533,5.1,1.2,0.265,4.6,0.474,1.6,6.8,22,1.4,3.2,-1.2,1.3,6.3,19.3,104,0.8,4,0.406,9.7,2.4,0.8,3.1,0.314,9,55,6-6,NBA,647,11.8,-2.5,1,3.1,103,0.3,12.3,2.5,11.6,Justin Anderson,1.1,1.5,2015-16,1.3,10.8,7.3,11.2,0.522,DAL,15.8,0.1,1.1,0.083,1.02564102564,0.474358974359,0.653846153846,0.358974358974,0.680512820513,0.469,0.0769230769231,10.6538461538,Justin Anderson/2015-16,0.903225806452,0.102564102564,3.36717948718,14.5769230769
336,1.1,0.417,2.5,1.8,0.352,5.2,0.67,6.8,26.2,34,0.1,0.2,-2.1,-0.9,2.8,8.3,107,1.4,2.9,0.373,7.7,0.7,0.707,1,0.125,0,81,6-3,NBA,1529,18.9,-1.2,0.4,1.1,103,0.7,9.5,2.8,8.2,Steve Blake,1,1.4,2014-15,2.4,23.2,3.2,4.8,0.507,POR,13.2,0,2.1,0.066,1.05681818182,0.375,0.943181818182,0.454545454545,1.31795454545,0.491,0.215909090909,31.6136363636,Steve Blake/2014-15,0.833333333333,0.840909090909,4.32534090909,38.6022727273
60,3.3,0.586,5.7,2,0.42,4.8,0.457,1.4,5.8,22,0.6,1.2,0.2,0,8.7,25.3,102,1.2,5.3,0.51,10.4,1.3,0.938,1.4,0.131,7,55,7-1,NBA,847,15.4,0.1,2,5.9,117,1.6,14.8,4.8,13.9,Meyers Leonard,0.4,0.6,2014-15,1.7,13.1,10.6,15.8,0.631,POR,15.8,0.5,2.8,0.158,1.05952380952,0.595238095238,2.64285714286,1.14285714286,0.744761904762,0.606,0.0357142857143,12.2857142857,Meyers Leonard/2014-15,1.88235294118,0.0714285714286,2.79976190476,16.5833333333
24,3.9,0.408,9.6,0.6,0.367,1.6,0.144,2.1,9.9,24,0.6,1.4,-6.1,-1.6,4,13.3,112,0.2,4.5,0.402,11.2,1.1,0.769,1.4,0.124,1,51,6-10,NBA,672,13.2,-4.5,1.7,5.2,90,-0.5,8.5,2.9,10.7,Travis Wear,0.8,1.2,2014-15,1.9,13.7,5.7,9.1,0.451,NYK,17.5,-0.7,-0.3,-0.02,1.06172839506,0.493827160494,1.12345679012,0.518518518519,0.591604938272,0.428,0.0740740740741,10.0617283951,Travis Wear/2014-15,1.07692307692,0.0864197530864,2.71925925926,13.4691358025
20,2,0.351,5.8,2,0.327,6.2,0.517,5.8,23.1,24,0.1,0.1,-4.9,-2.6,2.8,8.6,109,0.4,4.1,0.338,12.1,2,0.733,2.7,0.224,0,55,6-1,NBA,600,10.9,-2.3,0.5,1.6,93,-0.3,9.6,2.3,12.2,Shabazz Napier,1.4,1.9,2015-16,2.8,17.2,3.3,5.1,0.46,ORL,19.7,-0.4,0.1,0.004,1.06578947368,0.315789473684,0.302631578947,0.197368421053,0.586315789474,0.423,0.0657894736842,13.8421052632,Shabazz Napier/2015-16,0.9375,0.355263157895,3.27789473684,18.0526315789
277,0.8,0.444,1.9,1.9,0.427,4.5,0.704,2.6,9.9,39,0.5,1.3,-1.1,-0.6,2.4,7.7,112,0.9,2.8,0.432,6.4,0.6,0.828,0.8,0.119,0,74,6-2,NBA,1365,18.4,-0.5,0.4,1.3,116,1.2,9,2.5,8.1,Jason Terry,1.2,1.7,2016-17,0.9,12.3,2.8,4.5,0.6,MIL,9.8,0.3,2.1,0.075,1.08235294118,0.411764705882,0.882352941176,0.635294117647,1.19529411765,0.582,0.0823529411765,15.9882352941,Jason Terry/2016-17,1.31707317073,0.341176470588,3.96541176471,20
35,2.3,0.454,5,1.2,0.356,3.4,0.403,7.3,28,20,0.2,0.6,-1.9,-1.5,2.7,8.7,111,0.6,3.5,0.414,8.4,1.5,0.767,2,0.238,0,60,6-2,NBA,774,12.9,-0.4,0.5,1.5,114,1,13.8,2.3,9.7,Tyus Jones,2.2,3.1,2016-17,1.8,16,3.1,5,0.523,MIN,13.6,0,1.5,0.095,1.09638554217,0.44578313253,0.289156626506,0.253012048193,0.659156626506,0.486,0.204819277108,14.7590361446,Tyus Jones/2016-17,1.05,0.349397590361,2.9213253012,18.313253012
284,2,0.612,3.2,0.6,0.247,2.4,0.423,2,7.4,23,0.8,1.8,0.3,2.1,5.5,16,104,1.6,2.6,0.458,5.6,0.6,0.479,1.3,0.239,65,67,6-7,NBA,1286,19.2,-1.8,1.7,5.1,104,0.5,9.1,3.9,6.4,Andre Roberson,1.5,2.1,2014-15,1.3,17.2,7.1,10.6,0.513,OKC,9,0.7,2.1,0.079,1.13414634146,0.573170731707,1.46341463415,0.743902439024,1.20097560976,0.51,0.0365853658537,14.5731707317,Andre Roberson/2014-15,1.10909090909,0.280487804878,3.77085365854,18.5365853659
407,1.6,0.493,3.3,1.5,0.356,4.3,0.571,3.9,16.8,27,0.2,0.5,-0.8,0.3,3.3,10.5,106,1.6,3.2,0.415,7.6,0.6,0.75,0.9,0.113,32,79,6-8,NBA,1673,21.2,-1.1,0.5,1.5,101,0.5,9.6,2.7,8.5,Joe Ingles,1.5,2.3,2014-15,2.1,20.9,3.8,6,0.533,UTA,12.9,0.5,2.2,0.062,1.13414634146,0.40243902439,0.878048780488,0.487804878049,1.43731707317,0.517,0.268292682927,26.9390243902,Joe Ingles/2014-15,0.888888888889,0.548780487805,4.09012195122,33.6463414634
71,1.9,0.474,4,1.1,0.273,4.2,0.51,1.9,8,25,0.8,2,-1.4,1.3,4.4,14.3,104,1.2,3,0.371,8.1,1.4,0.81,1.8,0.216,2,70,6-6,NBA,857,12.2,-2.7,1.1,3.7,96,-0.1,8.2,4.2,8.6,Chris Johnson,1.3,2,2015-16,1.7,15.8,5.5,9,0.482,UTA,13.6,0.1,1.1,0.059,1.13414634146,0.451219512195,0.829268292683,0.40243902439,0.771585365854,0.441,0.0487804878049,9.07317073171,Chris Johnson/2015-16,0.942857142857,0.121951219512,3.70792682927,12.4512195122
136,4.6,0.546,8.5,1.2,0.474,2.6,0.237,1.2,5,30,1.9,4.3,-1.3,0.6,6.5,20.4,108,1.3,5.9,0.529,11.1,1.2,0.686,1.7,0.155,3,74,7-0,NBA,1068,14.4,-2,2.2,6.8,110,1,13.6,5.7,14.2,Jason Smith,0.7,1,2016-17,2,14.2,8.7,13.6,0.598,WAS,16.7,0.2,2.3,0.103,1.13684210526,0.578947368421,2.69473684211,1.37894736842,0.922526315789,0.585,0.0421052631579,17.4526315789,Jason Smith/2016-17,1.79452054795,0.178947368421,3.98842105263,22.5368421053
13,3.6,0.425,8.4,1,0.352,2.8,0.252,1.5,6.4,31,1.1,2.6,-2.7,0.3,7.6,23,104,1.1,4.5,0.407,11.2,3.3,0.78,4.3,0.383,4,56,6-9,NBA,689,12.3,-3,3.1,9.7,108,0.6,13.6,3.6,13.4,Kris Humphries,0.8,1.1,2016-17,1.5,10.1,10.8,16.4,0.514,ATL,17.6,-0.1,1.6,0.115,1.14942528736,0.471264367816,1.90804597701,0.965517241379,0.552413793103,0.451,0.0344827586207,13.2528735632,Kris Humphries/2016-17,2,0.172413793103,2.67793103448,16.9195402299
313,1.4,0.534,2.6,2.7,0.366,7.3,0.738,1.5,6.3,29,0.4,0.9,-0.6,-1.1,4.7,14.5,109,0.9,4,0.41,9.9,1.4,0.783,1.7,0.176,11,76,6-8,NBA,1432,18.8,0.5,1.3,3.7,112,1.8,11.1,3.4,12.1,Anthony Tolliver,0.6,0.9,2014-15,1.3,10.8,5.9,9,0.569,TOT,14.7,0.5,2.7,0.092,1.15853658537,0.573170731707,2.64634146341,1.41463414634,1.24658536585,0.545,0.134146341463,21.9390243902,Anthony Tolliver/2014-15,1.90163934426,0.243902439024,3.96609756098,28.1341463415
74,3.2,0.461,6.9,0,0,0,0.006,2.4,9.1,27,1,2.4,-0.3,1.3,4.8,14.6,110,0.8,3.2,0.458,6.9,1,0.697,1.4,0.196,5,61,6-9,NBA,871,14.3,-1.5,4.3,13.7,114,0.9,11.6,3.2,7.3,Lavoy Allen,0.7,1,2016-17,1.2,13.7,9.1,14.2,0.485,IND,10.9,0.4,1.7,0.093,1.16455696203,0.569620253165,1.50632911392,0.670886075949,0.779620253165,0.458,0.0253164556962,14.4936708861,Lavoy Allen/2016-17,1.29268292683,0.177215189873,3.28683544304,17.6202531646
488,1.2,0.408,3,1.6,0.314,5.2,0.635,3.9,16.6,19,0.3,0.6,-3.8,-1.3,2.1,6.6,109,1,2.9,0.349,8.2,0.4,0.625,0.6,0.077,41,82,6-6,NBA,1817,22.2,-2.6,0.5,1.7,90,-1.1,5.7,2.9,7.8,Dante Exum,0.8,1.2,2014-15,2.3,21.5,2.6,4.2,0.457,UTA,13.8,-0.8,-0.1,-0.003,1.17073170732,0.414634146341,0.80487804878,0.512195121951,1.57707317073,0.448,0.30487804878,36.8170731707,Dante Exum/2014-15,0.875,0.682926829268,4.28536585366,45.1707317073
10,3.9,0.583,6.6,0,,0,0,0.7,2.7,21,1.2,2.8,-0.7,0.5,5,15.7,108,0.7,3.9,0.583,6.6,1.8,0.544,3.3,0.496,4,54,7-0,NBA,626,11.6,-1.2,4.5,14.1,118,0.9,12.2,6.5,9.5,Jakob Poeltl,1,1.4,2016-17,1.7,17.2,9.5,14.9,0.589,TOR,12.1,0.2,1.6,0.125,1.17582417582,0.659340659341,1.97802197802,1,0.534285714286,0.583,0.032967032967,6.48351648352,Jakob Poeltl/2016-17,1.97826086957,0.0879120879121,2.80791208791,8.61538461538
137,2.1,0.436,4.9,2.2,0.347,6.3,0.563,2.1,8.4,24,0.8,1.8,-3.4,-1.3,6.2,19,112,0.8,4.3,0.386,11.1,1,0.875,1.2,0.106,12,74,7-1,NBA,1222,16.5,-2.1,0.8,2.4,105,0.5,8.9,5.1,11.8,Meyers Leonard,0.4,0.5,2016-17,1,8.1,7,10.7,0.507,POR,15.5,-0.4,1.4,0.053,1.17647058824,0.517647058824,3.08235294118,1.57647058824,0.924470588235,0.484,0.0588235294118,18.6,Meyers Leonard/2016-17,2.23333333333,0.152941176471,3.40105882353,24.6588235294
100,3.3,0.694,4.8,0.1,0.25,0.4,0.077,1.4,5.4,24,3,7.2,5.4,5.6,5.3,16.7,102,2,3.4,0.66,5.2,1.5,0.657,2.2,0.429,6,57,7-0,NBA,1088,19.1,-0.1,2.7,8.5,125,1.7,15.5,4.5,8.4,Lucas Nogueira,1.7,2.4,2016-17,1.5,19.9,8,12.6,0.682,TOR,9.5,2,3.7,0.164,1.18604651163,0.790697674419,3.70930232558,1.75581395349,0.833720930233,0.67,0.0581395348837,10.8953488372,Lucas Nogueira/2016-17,2.90384615385,0.209302325581,2.72093023256,13.523255814
