Player,Season_x,Age_x,Tm_x,Lg_x,G_x,MP_x,Ht,GS_x,MP.1_x,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%_x,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,dist,spd,tchs,pass,sast,ftast,dfgm,dfga,rimd
Amir Johnson,2014-15,27,TOR,NBA,75,26.4,6-9,72,1979,5.4,9.4,5.1,8.6,0.3,0.8,1.4,2.3,2.9,5.4,8.3,2.1,0.8,1.1,2.0,4.1,12.6,0.574,0.59,0.413,0.592,0.612,0.603,15.4,0.089,0.249,9.3,17.3,13.3,9.4,1.1,2.4,16.0,15.7,115,107,3.5,1.6,5.1,0.124,0.8,1.0,1.8,1.9,1.7375308642,3.93925925926,42.2469135802,32.6172839506,0.493827160494,0.172839506173,3.38271604938,6.45679012346,3.46835443038
Andre Drummond,2014-15,21,DET,NBA,82,30.5,6-11,82,2502,7.1,13.8,7.1,13.8,0.0,0.0,2.0,5.3,6.3,9.6,15.9,0.8,1.1,2.2,1.7,4.1,16.3,0.514,0.515,0.0,0.514,0.389,0.504,21.4,0.002,0.38,18.3,30.1,24.0,3.9,1.5,4.8,9.7,22.0,107,100,3.4,4.3,7.7,0.147,-1.2,1.1,-0.2,1.2,2.03542168675,3.99951807229,37.4457831325,21.9397590361,0.289156626506,0.0361445783133,4.25301204819,8.89156626506,4.30487804878
Andre Iguodala,2014-15,31,GSW,NBA,77,26.9,6-6,0,2069,4.0,8.6,2.7,4.9,1.3,3.7,1.2,2.0,0.8,3.7,4.5,4.0,1.5,0.4,1.5,1.7,10.5,0.466,0.553,0.349,0.54,0.596,0.553,12.3,0.427,0.23,2.4,10.8,6.7,14.6,2.1,0.9,13.9,13.3,110,103,2.3,2.8,5.1,0.117,0.1,1.5,1.6,1.9,1.83892156863,3.99578431373,42.3431372549,32.5196078431,1.03921568627,0.401960784314,0.911764705882,1.73529411765,1.17721518987
Andre Miller,2014-15,38,TOT,NBA,81,15.5,6-3,0,1253,4.2,8.3,4.0,7.4,0.2,1.0,1.7,2.2,1.1,3.3,4.4,8.2,0.9,0.2,3.0,3.0,10.2,0.5,0.539,0.206,0.512,0.753,0.548,13.3,0.117,0.266,3.4,10.2,6.9,34.5,1.3,0.4,24.3,15.3,107,109,1.4,0.8,2.2,0.084,-1.2,-1.8,-3.0,-0.3,0.975,3.80952380952,37.5476190476,30.4285714286,0.535714285714,0.47619047619,0.333333333333,0.619047619048,0.8
Andre Roberson,2014-15,23,OKC,NBA,67,19.2,6-7,65,1286,2.6,5.6,2.0,3.2,0.6,2.4,0.6,1.3,1.7,5.5,7.1,2.0,1.5,0.8,1.3,3.9,6.4,0.458,0.612,0.247,0.51,0.479,0.513,9.1,0.423,0.239,5.1,16.0,10.6,7.4,2.1,1.8,17.2,9.0,104,104,0.5,1.6,2.1,0.079,-1.8,2.1,0.3,0.7,1.20097560976,3.77085365854,18.5365853659,14.5731707317,0.280487804878,0.0365853658537,0.743902439024,1.46341463415,1.10909090909
Andrew Bogut,2014-15,30,GSW,NBA,67,23.6,7-0,65,1583,4.5,8.1,4.5,8.1,0.0,0.0,0.5,1.0,3.2,9.1,12.3,4.1,0.9,2.6,2.4,4.3,9.6,0.563,0.563,,0.563,0.524,0.565,15.8,0.0,0.118,9.9,26.5,18.5,15.4,1.2,5.3,22.1,13.2,110,97,1.9,3.4,5.2,0.159,-1.4,5.5,4.1,2.4,1.40674157303,3.58662921348,39.4606741573,31.9887640449,0.696629213483,0.101123595506,2.91011235955,7.03370786517,3.04705882353
Andrew Wiggins,2014-15,19,MIN,NBA,82,36.2,6-8,82,2969,6.0,13.8,5.6,12.3,0.5,1.5,4.3,5.7,1.6,2.9,4.5,2.1,1.0,0.6,2.1,2.3,16.8,0.437,0.453,0.31,0.454,0.76,0.517,13.9,0.111,0.41,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,103,114,2.1,0.0,2.1,0.034,-0.5,-1.8,-2.3,-0.2,2.43890243902,4.04329268293,42.6341463415,22.756097561,0.59756097561,0.146341463415,1.82926829268,3.20731707317,2.0
Anthony Bennett,2014-15,21,MIN,NBA,57,15.7,6-8,3,894,5.0,12.0,4.8,11.0,0.3,0.9,1.7,2.6,2.1,6.6,8.7,1.9,1.1,0.6,1.4,3.5,12.0,0.421,0.431,0.304,0.433,0.641,0.458,11.4,0.077,0.215,6.5,21.6,13.8,8.7,1.5,1.4,10.0,17.8,96,111,-0.1,0.4,0.3,0.017,-3.6,-1.2,-4.8,-0.6,0.889275362319,3.30782608696,25.6956521739,19.8695652174,0.101449275362,0.115942028986,1.15942028986,2.07246376812,1.66666666667
Anthony Davis,2014-15,21,NOP,NBA,68,36.1,6-10,68,2455,9.4,17.6,9.4,17.4,0.0,0.2,5.4,6.8,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.3,0.535,0.54,0.083,0.536,0.805,0.591,30.8,0.01,0.384,8.0,24.1,16.1,11.6,2.1,6.2,6.3,27.8,122,100,9.9,4.2,14.0,0.274,4.2,3.0,7.1,5.7,1.96081395349,3.22244186047,49.8488372093,29.9186046512,0.337209302326,0.186046511628,2.88372093023,6.04651162791,3.44444444444
Anthony Morrow,2014-15,29,OKC,NBA,74,24.4,6-5,0,1806,5.7,12.3,2.9,5.8,2.8,6.5,1.6,1.8,0.8,3.1,3.9,1.2,1.1,0.2,0.8,2.7,15.7,0.463,0.497,0.434,0.578,0.888,0.604,14.8,0.528,0.145,2.4,9.1,5.8,5.2,1.5,0.5,5.5,16.5,124,108,4.4,1.2,5.7,0.151,2.4,-1.8,0.6,1.2,1.5024691358,3.69765432099,22.1851851852,13.1728395062,0.16049382716,0.037037037037,0.814814814815,1.49382716049,1.2
Anthony Tolliver,2014-15,29,TOT,NBA,76,18.8,6-8,11,1432,4.0,9.9,1.4,2.6,2.7,7.3,1.4,1.7,1.3,4.7,5.9,1.5,0.6,0.4,1.3,3.4,12.1,0.41,0.534,0.366,0.545,0.783,0.569,11.1,0.738,0.176,3.7,14.5,9.0,6.3,0.9,0.9,10.8,14.7,112,109,1.8,0.9,2.7,0.092,0.5,-1.1,-0.6,0.5,1.24658536585,3.96609756098,28.1341463415,21.9390243902,0.243902439024,0.134146341463,1.41463414634,2.64634146341,1.90163934426
Aron Baynes,2014-15,28,SAS,NBA,70,16.0,6-10,17,1122,5.9,10.5,5.9,10.4,0.0,0.1,2.9,3.3,3.5,6.7,10.2,1.1,0.5,0.7,2.1,5.2,14.8,0.566,0.57,0.25,0.567,0.865,0.618,15.9,0.012,0.318,11.2,20.7,16.1,4.9,0.7,1.5,14.8,17.8,116,103,2.3,1.6,3.9,0.166,-0.7,-0.2,-1.0,0.3,0.966547619048,3.70523809524,18.7857142857,13.1071428571,0.22619047619,0.047619047619,1.9880952381,4.05952380952,2.31944444444
Arron Afflalo,2014-15,29,TOT,NBA,78,32.1,6-5,72,2502,5.4,12.7,3.7,7.9,1.7,4.8,2.4,2.8,0.4,3.2,3.6,1.9,0.6,0.1,1.7,2.4,14.9,0.424,0.466,0.354,0.491,0.843,0.533,10.7,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,103,111,1.6,1.0,2.6,0.05,-0.5,-1.3,-1.8,0.1,2.11746987952,4.03638554217,36.2530120482,22.2530120482,0.566265060241,0.168674698795,0.506024096386,0.927710843373,0.976744186047
Austin Rivers,2014-15,22,TOT,NBA,76,20.6,6-4,5,1563,4.7,11.4,3.8,8.4,0.9,3.0,2.0,2.9,0.6,2.9,3.5,3.6,1.1,0.3,1.5,3.4,12.2,0.409,0.449,0.298,0.449,0.675,0.481,10.3,0.264,0.254,2.0,8.9,5.5,14.7,1.6,0.7,10.5,17.9,100,109,0.5,1.0,1.5,0.046,-1.7,-1.2,-2.9,-0.4,1.41891304348,4.22586956522,32.1195652174,22.7717391304,0.260869565217,0.0760869565217,0.54347826087,1.03260869565,0.943396226415
Avery Bradley,2014-15,24,BOS,NBA,77,31.5,6-2,77,2428,6.4,15.0,4.6,9.8,1.8,5.2,1.2,1.5,0.7,2.9,3.6,2.0,1.2,0.2,1.6,2.6,15.9,0.429,0.47,0.352,0.49,0.79,0.507,11.5,0.348,0.099,2.0,8.9,5.4,8.9,1.7,0.5,9.4,21.0,99,107,0.4,2.1,2.5,0.049,-0.8,-0.9,-1.7,0.2,2.24061728395,4.26234567901,39.3580246914,23.0987654321,0.530864197531,0.16049382716,0.876543209877,1.55555555556,1.109375
Ben Gordon,2014-15,31,ORL,NBA,56,14.1,6-3,0,790,5.9,13.4,4.3,9.0,1.6,4.4,2.6,3.1,0.3,2.6,2.9,2.3,0.6,0.0,2.5,2.7,15.9,0.437,0.475,0.361,0.497,0.836,0.538,10.6,0.329,0.227,0.8,8.3,4.5,10.3,0.9,0.1,14.5,21.8,98,112,0.1,0.2,0.3,0.015,-2.5,-3.6,-6.1,-0.8,0.706842105263,3.01907894737,12.8157894737,6.96052631579,0.210526315789,0.0526315789474,0.25,0.368421052632,0.95
Ben McLemore,2014-15,21,SAC,NBA,82,32.6,6-5,82,2670,4.9,11.2,3.0,5.9,1.9,5.3,1.8,2.2,0.4,2.8,3.2,1.9,1.0,0.3,1.9,3.0,13.4,0.437,0.507,0.358,0.521,0.813,0.552,10.4,0.471,0.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,104,112,1.7,0.8,2.5,0.045,0.4,-1.3,-0.8,0.8,2.42292682927,4.47207317073,39.9268292683,26.0,0.487804878049,0.207317073171,1.19512195122,2.15853658537,1.4
Beno Udrih,2014-15,32,MEM,NBA,79,18.9,6-3,12,1494,5.9,12.2,5.3,9.8,0.6,2.3,2.1,2.5,0.5,3.0,3.4,5.3,1.1,0.2,2.1,2.1,14.6,0.487,0.539,0.268,0.513,0.853,0.55,15.4,0.192,0.202,1.5,9.4,5.5,24.0,1.6,0.4,13.9,19.6,108,105,2.0,1.6,3.6,0.115,0.2,-1.0,-0.8,0.5,1.36217391304,4.36,45.2391304348,35.5217391304,0.739130434783,0.239130434783,0.630434782609,1.07608695652,1.05454545455
Bismack Biyombo,2014-15,22,CHO,NBA,64,19.4,6-9,21,1243,2.9,5.4,2.9,5.4,0.0,0.0,3.0,5.1,4.6,7.2,11.8,0.5,0.5,2.9,1.5,4.1,8.8,0.543,0.543,,0.543,0.583,0.578,15.2,0.0,0.941,13.7,22.6,18.0,2.0,0.7,6.3,16.5,11.6,115,99,1.8,2.2,4.0,0.156,-3.2,2.8,-0.4,0.5,1.13391891892,3.515,14.2297297297,9.71621621622,0.108108108108,0.0135135135135,1.91891891892,3.90540540541,2.36666666667
Blake Griffin,2014-15,25,LAC,NBA,67,35.2,6-10,67,2356,8.8,17.5,8.6,17.1,0.2,0.4,4.8,6.5,1.9,5.8,7.8,5.4,1.0,0.5,2.3,3.0,22.4,0.502,0.504,0.4,0.506,0.728,0.551,22.8,0.022,0.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,113,106,6.6,2.4,9.0,0.183,3.1,1.0,4.1,3.6,2.10402298851,3.50206896552,79.2873563218,54.7816091954,0.620689655172,0.425287356322,2.59770114943,5.09195402299,2.825
Bojan Bogdanovic,2014-15,25,BRK,NBA,78,23.8,6-8,28,1854,5.1,11.2,3.3,6.2,1.8,5.0,1.7,2.1,1.0,3.2,4.1,1.3,0.7,0.2,1.5,2.0,13.6,0.453,0.531,0.355,0.532,0.821,0.562,11.6,0.444,0.184,3.0,9.8,6.4,5.8,0.9,0.4,11.1,17.2,106,111,1.7,0.7,2.4,0.062,0.0,-1.9,-1.8,0.1,1.64443181818,4.03034090909,24.1136363636,14.5909090909,0.238636363636,0.136363636364,0.840909090909,1.48863636364,1.15625
Boris Diaw,2014-15,32,SAS,NBA,81,24.5,6-8,15,1984,5.3,11.5,4.3,8.4,1.0,3.1,1.3,1.7,1.4,4.9,6.3,4.2,0.7,0.4,2.3,2.7,12.8,0.46,0.512,0.32,0.503,0.774,0.526,12.7,0.267,0.147,4.5,15.2,10.0,17.9,0.9,0.9,15.8,18.3,103,105,1.3,2.3,3.6,0.088,-0.6,0.7,0.1,1.1,1.70606741573,4.1406741573,54.0,42.7303370787,0.584269662921,0.438202247191,2.39325842697,4.26966292135,2.53571428571
Bradley Beal,2014-15,21,WAS,NBA,63,33.4,6-5,59,2107,6.2,14.5,4.4,10.1,1.8,4.4,2.2,2.8,1.0,3.1,4.1,3.3,1.3,0.3,2.1,2.3,16.4,0.427,0.434,0.409,0.489,0.783,0.521,14.0,0.304,0.195,3.1,9.6,6.4,15.0,1.8,0.7,11.7,22.5,102,105,1.3,2.4,3.7,0.085,0.5,-0.1,0.5,1.3,2.44306666667,4.24053333333,56.6,37.3733333333,0.786666666667,0.36,1.09333333333,1.92,1.38983050847
Brandan Wright,2014-15,27,TOT,NBA,75,19.3,6-10,7,1449,5.8,9.0,5.8,8.9,0.0,0.1,1.9,2.8,3.2,4.8,8.0,1.0,1.2,2.3,0.8,2.5,13.5,0.642,0.647,0.0,0.642,0.696,0.66,20.4,0.008,0.309,9.6,14.7,12.1,4.4,1.7,5.1,7.6,13.6,133,104,4.3,1.8,6.1,0.202,1.2,2.4,3.6,2.0,1.21307692308,3.79448717949,23.9358974359,17.5,0.192307692308,0.0384615384615,2.47435897436,5.0,2.68055555556
Brandon Bass,2014-15,29,BOS,NBA,82,23.5,6-8,43,1929,6.4,12.7,6.3,12.1,0.2,0.6,3.2,4.0,2.6,4.8,7.4,1.9,0.8,0.6,1.5,2.6,16.2,0.504,0.515,0.281,0.51,0.79,0.557,16.3,0.047,0.313,7.8,14.9,11.3,8.6,1.1,1.3,9.6,19.5,112,106,3.4,1.9,5.3,0.132,-0.4,-0.1,-0.5,0.7,1.5861627907,4.08534883721,36.0697674419,24.976744186,0.325581395349,0.0813953488372,1.47674418605,2.70930232558,1.67105263158
Brandon Knight,2014-15,23,TOT,NBA,63,32.3,6-3,61,2035,6.6,15.7,4.4,10.0,2.2,5.7,3.4,3.9,0.5,3.8,4.3,5.8,1.6,0.2,3.3,2.0,18.9,0.422,0.441,0.389,0.493,0.874,0.543,17.1,0.361,0.251,1.6,12.0,6.8,27.4,2.3,0.4,16.1,25.9,103,104,2.0,2.5,4.5,0.106,1.7,-0.7,1.1,1.6,2.07550724638,3.86579710145,66.1884057971,46.4057971014,1.02898550725,0.376811594203,0.797101449275,1.34782608696,1.12244897959
Brian Roberts,2014-15,29,CHO,NBA,72,18.5,6-1,10,1330,4.8,12.2,3.1,7.0,1.7,5.2,1.8,2.0,0.4,2.6,3.0,4.4,0.9,0.2,1.5,2.0,13.0,0.389,0.44,0.321,0.458,0.892,0.495,11.7,0.427,0.164,1.0,8.2,4.5,20.3,1.3,0.4,10.5,18.6,101,107,0.6,1.2,1.8,0.064,-0.8,-1.7,-2.5,-0.2,1.1637804878,3.79804878049,37.0853658537,28.7926829268,0.707317073171,0.0975609756098,0.329268292683,0.59756097561,0.870967741935
Brook Lopez,2014-15,26,BRK,NBA,72,29.2,7-0,44,2100,8.7,16.9,8.7,16.7,0.0,0.2,3.8,4.7,3.7,5.5,9.2,0.9,0.7,2.2,1.8,3.5,21.2,0.513,0.517,0.1,0.513,0.814,0.558,22.7,0.01,0.278,11.5,17.1,14.3,4.5,1.1,4.8,8.6,26.3,112,105,4.7,2.2,7.0,0.159,0.5,-0.3,0.2,1.1,1.9008974359,3.80512820513,40.5512820513,22.3974358974,0.320512820513,0.115384615385,4.17948717949,8.55128205128,4.17948717949
CJ McCollum,2014-15,23,POR,NBA,62,15.7,6-4,3,973,5.9,13.5,3.8,8.4,2.0,5.1,1.9,2.7,0.5,2.8,3.4,2.4,1.6,0.3,1.8,3.0,15.7,0.436,0.46,0.396,0.511,0.699,0.534,13.1,0.381,0.2,1.6,8.3,5.0,10.3,2.3,0.6,10.8,20.5,103,105,0.7,1.1,1.8,0.089,-0.4,-0.3,-0.7,0.3,1.2004109589,4.25054794521,22.4109589041,14.5616438356,0.27397260274,0.0958904109589,0.520547945205,0.972602739726,0.926829268293
CJ Miles,2014-15,27,IND,NBA,70,26.3,6-6,40,1841,6.4,16.2,3.4,7.5,3.0,8.7,2.5,3.1,0.4,3.8,4.2,1.5,1.2,0.5,1.4,2.6,18.4,0.398,0.459,0.345,0.491,0.807,0.525,14.1,0.539,0.195,1.1,11.7,6.4,7.1,1.7,1.1,7.5,23.9,103,104,1.3,2.3,3.6,0.093,1.0,-1.3,-0.3,0.8,1.56316455696,3.60075949367,31.8227848101,18.9240506329,0.303797468354,0.139240506329,0.658227848101,1.30379746835,1.04
CJ Watson,2014-15,30,IND,NBA,57,24.9,6-2,21,1422,4.6,10.6,2.8,6.1,1.8,4.4,3.5,4.2,0.5,3.7,4.1,5.3,1.4,0.2,2.5,2.7,14.4,0.434,0.459,0.4,0.518,0.826,0.581,15.4,0.42,0.4,1.4,11.2,6.3,23.3,2.1,0.5,16.9,18.8,110,104,2.2,1.8,4.0,0.135,1.4,0.1,1.5,1.3,1.45042253521,3.49394366197,47.5633802817,37.0281690141,0.845070422535,0.197183098592,0.295774647887,0.87323943662,0.617647058824
Carl Landry,2014-15,31,SAC,NBA,70,17.0,6-9,15,1192,5.7,11.1,5.7,11.1,0.0,0.0,3.7,4.5,3.0,5.1,8.1,0.8,0.5,0.5,1.6,4.0,15.2,0.515,0.515,,0.515,0.82,0.578,14.9,0.0,0.407,9.8,15.5,12.8,3.6,0.6,1.1,11.0,18.1,115,111,2.3,0.5,2.8,0.112,-1.0,-2.6,-3.6,-0.5,1.00666666667,3.58,21.3076923077,14.5384615385,0.205128205128,0.0512820512821,1.25641025641,2.28205128205,1.60655737705
Carlos Boozer,2014-15,33,LAL,NBA,71,23.8,6-9,26,1692,7.9,15.8,7.9,15.8,0.0,0.0,2.0,3.2,2.4,7.9,10.3,2.0,0.9,0.3,2.0,3.9,17.8,0.499,0.499,,0.499,0.627,0.517,16.4,0.0,0.202,7.0,25.2,15.7,10.3,1.2,0.6,10.2,23.7,102,109,1.2,1.0,2.2,0.062,-1.8,-1.5,-3.3,-0.6,1.3087804878,3.29170731707,37.743902439,25.8048780488,0.243902439024,0.146341463415,1.73170731707,3.28048780488,2.08823529412
Caron Butler,2014-15,34,DET,NBA,78,20.8,6-7,21,1623,3.6,8.8,1.7,3.9,1.8,4.9,1.2,1.4,0.5,3.9,4.3,1.8,1.0,0.1,1.1,2.7,10.2,0.407,0.441,0.379,0.511,0.902,0.544,9.3,0.553,0.154,1.4,12.2,6.6,7.3,1.4,0.2,10.4,12.9,108,109,1.3,1.0,2.4,0.07,-1.0,-0.5,-1.5,0.2,1.38475,3.9805,30.4875,24.0875,0.1625,0.1125,1.0,1.625,1.31147540984
Chandler Parsons,2014-15,26,DAL,NBA,66,33.1,6-10,66,2186,6.3,13.7,4.1,7.9,2.2,5.7,2.3,3.2,1.1,4.3,5.3,2.7,1.1,0.3,1.6,2.3,17.1,0.462,0.521,0.38,0.542,0.72,0.567,16.3,0.419,0.233,3.2,13.0,8.1,11.4,1.6,0.7,9.5,20.6,112,108,3.8,1.7,5.5,0.121,2.7,-0.2,2.5,2.5,2.31043478261,4.17086956522,54.0869565217,37.0724637681,0.608695652174,0.173913043478,1.20289855072,2.21739130435,1.40677966102
Channing Frye,2014-15,31,ORL,NBA,75,24.9,6-11,51,1870,3.7,9.4,1.1,2.7,2.6,6.7,0.6,0.7,0.5,5.1,5.6,1.8,0.9,0.8,1.5,3.7,10.6,0.392,0.39,0.393,0.532,0.886,0.546,9.5,0.71,0.072,1.6,16.4,8.9,7.4,1.3,1.7,13.4,14.1,101,108,0.7,1.4,2.1,0.053,-0.9,0.0,-0.9,0.5,1.46481481481,3.54148148148,45.2222222222,37.4444444444,0.246913580247,0.135802469136,2.7037037037,5.20987654321,3.04166666667
Charlie Villanueva,2014-15,30,DAL,NBA,64,10.6,6-11,1,678,8.0,19.2,3.6,7.5,4.4,11.7,1.1,1.9,1.6,6.3,7.9,1.0,0.8,1.2,1.5,3.4,21.4,0.414,0.475,0.376,0.529,0.571,0.534,17.4,0.61,0.097,4.8,19.3,12.1,4.7,1.1,2.6,6.9,26.7,104,105,0.6,0.7,1.4,0.096,1.2,-3.1,-1.8,0.0,0.58476744186,3.40174418605,15.976744186,10.5930232558,0.0581395348837,0.046511627907,0.837209302326,1.66279069767,1.44
Chase Budinger,2014-15,26,MIN,NBA,67,19.2,6-7,4,1286,4.7,10.9,3.3,6.9,1.5,4.0,1.9,2.3,0.9,4.6,5.5,1.8,1.2,0.3,1.4,2.0,12.8,0.433,0.474,0.364,0.5,0.827,0.537,12.2,0.367,0.208,2.8,15.1,8.8,8.0,1.7,0.6,10.3,16.3,106,113,1.1,0.2,1.3,0.049,-0.9,-1.9,-2.8,-0.3,1.07195121951,3.33902439024,20.512195122,14.1829268293,0.219512195122,0.146341463415,1.03658536585,1.59756097561,1.77083333333
Chris Andersen,2014-15,36,MIA,NBA,60,18.9,6-10,20,1132,3.8,6.6,3.7,6.2,0.1,0.4,2.4,3.6,2.4,7.1,9.5,1.4,0.8,1.9,1.3,2.8,10.2,0.58,0.598,0.308,0.589,0.667,0.622,16.1,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,121,103,2.1,1.5,3.6,0.151,-1.2,2.3,1.0,0.9,1.12611940299,3.53179104478,22.4029850746,17.1492537313,0.179104477612,0.0597014925373,2.64179104478,5.23880597015,3.0
