Player,Season_x,Age_x,Tm_x,Lg_x,G_x,MP_x,Ht,GS_x,MP.1_x,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%_x,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,dist,spd,tchs,pass,sast,ftast,dfgm,dfga,rimd
Andre Iguodala,2016-17,33,GSW,NBA,76,26.3,6-6,0,1998,3.9,7.5,2.8,4.3,1.2,3.2,1.3,1.8,0.9,4.6,5.5,4.7,1.4,0.7,1.0,1.7,10.3,0.528,0.651,0.362,0.605,0.706,0.624,14.4,0.427,0.246,3.0,13.1,8.3,16.7,1.8,1.5,11.2,11.2,129,105,4.1,2.9,6.9,0.167,1.3,1.7,3.0,2.5,1.78152173913,4.095,40.2608695652,32.1304347826,1.16304347826,0.271739130435,1.04347826087,1.98913043478,1.31506849315
Andre Roberson,2016-17,25,OKC,NBA,79,30.1,6-7,79,2376,3.3,7.0,2.6,4.2,0.7,2.8,0.7,1.7,1.5,4.6,6.1,1.2,1.4,1.2,0.8,3.1,7.9,0.464,0.609,0.245,0.513,0.423,0.51,9.6,0.397,0.24,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,108,107,1.1,3.1,4.2,0.085,-2.1,2.1,0.0,1.2,2.11906976744,4.1938372093,32.8139534884,24.7906976744,0.313953488372,0.104651162791,1.97674418605,3.82558139535,2.15189873418
Andrew Harrison,2016-17,22,MEM,NBA,72,20.5,6-6,18,1474,2.9,8.8,1.8,5.0,1.1,3.8,3.6,4.7,0.6,2.8,3.3,4.8,1.3,0.5,2.1,4.7,10.4,0.325,0.363,0.276,0.385,0.763,0.477,8.7,0.433,0.539,1.7,9.0,5.3,20.0,1.9,1.3,16.0,16.4,100,109,0.0,1.5,1.6,0.051,-2.4,0.0,-2.5,-0.2,1.15639534884,3.51674418605,38.1976744186,29.6279069767,0.755813953488,0.255813953488,0.639534883721,1.10465116279,1.25
Andrew Wiggins,2016-17,21,MIN,NBA,82,37.2,6-8,82,3048,8.4,18.5,7.2,15.1,1.2,3.4,4.9,6.4,1.2,2.7,3.9,2.2,1.0,0.4,2.2,2.2,22.8,0.452,0.473,0.356,0.484,0.76,0.534,16.5,0.184,0.345,3.9,8.8,6.3,10.6,1.4,0.8,9.4,29.0,107,115,3.3,0.9,4.2,0.066,0.2,-2.9,-2.7,-0.6,2.3865060241,3.88891566265,50.3253012048,24.9397590361,0.638554216867,0.180722891566,2.03614457831,3.30120481928,2.25333333333
Anthony Davis,2016-17,23,NOP,NBA,75,36.1,6-10,75,2708,10.2,20.3,9.7,18.5,0.5,1.8,6.9,8.6,2.3,9.5,11.8,2.1,1.2,2.2,2.4,2.2,27.9,0.504,0.524,0.299,0.517,0.802,0.579,27.5,0.088,0.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6,112,102,5.9,5.1,11.0,0.196,1.4,2.3,3.7,3.9,2.20075949367,3.66784810127,69.1265822785,42.9240506329,0.556962025316,0.189873417722,3.17721518987,6.26582278481,3.53521126761
Anthony Tolliver,2016-17,31,SAC,NBA,65,22.7,6-8,9,1477,3.8,8.6,1.6,2.9,2.2,5.6,1.5,2.0,1.2,4.6,5.8,1.9,0.8,0.5,1.4,2.7,11.2,0.442,0.537,0.391,0.57,0.744,0.595,11.1,0.655,0.234,4.0,14.5,9.3,7.7,1.1,1.2,12.6,13.6,113,113,1.5,0.8,2.3,0.075,0.2,-0.8,-0.6,0.5,1.28538461538,3.44641025641,26.9102564103,20.7692307692,0.346153846154,0.0641025641026,1.38461538462,2.34615384615,1.96363636364
Aron Baynes,2016-17,30,DET,NBA,75,15.5,6-10,2,1163,4.4,8.6,4.4,8.6,0.0,0.0,2.4,2.9,3.4,6.9,10.3,1.0,0.5,1.2,1.5,5.1,11.3,0.513,0.513,,0.513,0.84,0.57,13.1,0.0,0.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1,114,106,1.4,1.5,3.0,0.123,-2.9,1.1,-1.8,0.1,0.944512195122,3.67158536585,14.5365853659,9.73170731707,0.0975609756098,0.0487804878049,1.70731707317,3.68292682927,2.02898550725
Arron Afflalo,2016-17,31,SAC,NBA,61,25.9,6-5,45,1580,4.2,9.6,2.8,6.1,1.4,3.4,1.9,2.1,0.2,2.6,2.8,1.8,0.5,0.2,1.0,2.4,11.7,0.44,0.457,0.411,0.514,0.892,0.559,9.0,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,109,116,1.2,0.2,1.4,0.043,-1.4,-2.0,-3.5,-0.6,1.33693333333,3.17213333333,26.12,19.0,0.333333333333,0.173333333333,0.453333333333,0.64,1.21428571429
Austin Rivers,2016-17,24,LAC,NBA,74,27.8,6-4,29,2054,5.7,12.8,3.7,7.6,1.9,5.2,2.3,3.3,0.4,2.5,2.8,3.6,0.8,0.2,2.0,3.3,15.6,0.442,0.491,0.371,0.518,0.691,0.545,11.4,0.409,0.261,1.1,7.5,4.4,15.0,1.2,0.4,12.4,20.3,105,112,1.2,1.3,2.5,0.059,-0.1,-1.5,-1.6,0.2,1.82049382716,3.92382716049,46.9012345679,33.3333333333,0.481481481481,0.197530864198,0.740740740741,1.40740740741,1.09090909091
Avery Bradley,2016-17,26,BOS,NBA,55,33.4,6-2,55,1835,7.0,15.2,4.9,9.8,2.1,5.4,1.3,1.8,1.3,5.3,6.6,2.4,1.3,0.2,1.7,2.8,17.5,0.463,0.504,0.39,0.533,0.731,0.548,14.4,0.357,0.12,4.0,16.2,10.1,10.9,1.8,0.5,9.7,21.9,105,108,1.1,2.0,3.1,0.08,-0.2,-0.4,-0.5,0.7,2.30136986301,4.09808219178,48.4657534247,30.6164383562,0.808219178082,0.260273972603,1.57534246575,2.54794520548,1.88524590164
Ben McLemore,2016-17,23,SAC,NBA,61,19.3,6-5,26,1176,5.5,12.8,3.5,7.6,2.0,5.2,2.1,2.8,0.6,3.4,4.0,1.6,0.9,0.2,1.9,3.3,15.2,0.43,0.462,0.382,0.507,0.753,0.538,9.8,0.406,0.222,1.9,10.8,6.4,6.9,1.2,0.5,11.9,20.1,99,114,-0.1,0.5,0.4,0.015,-2.1,-2.7,-4.8,-0.8,1.10961538462,3.41076923077,20.5769230769,13.3974358974,0.269230769231,0.025641025641,0.397435897436,0.858974358974,0.885714285714
Bismack Biyombo,2016-17,24,ORL,NBA,81,22.1,6-9,27,1793,3.6,6.8,3.6,6.8,0.0,0.0,2.5,4.7,3.2,8.2,11.4,1.5,0.5,1.8,1.9,4.1,9.7,0.528,0.528,,0.528,0.534,0.546,12.2,0.0,0.69,9.3,25.6,17.2,6.0,0.7,4.1,17.7,13.2,106,108,0.8,2.1,2.9,0.077,-4.2,2.0,-2.2,-0.1,1.47682926829,4.00182926829,38.1951219512,30.7804878049,0.378048780488,0.0243902439024,2.82926829268,5.40243902439,3.01298701299
Blake Griffin,2016-17,27,LAC,NBA,61,34.0,6-10,61,2076,8.3,16.8,7.6,14.9,0.7,2.0,5.5,7.3,1.9,6.7,8.6,5.2,1.0,0.4,2.5,2.7,22.8,0.493,0.514,0.336,0.513,0.76,0.569,22.7,0.116,0.434,6.1,20.2,13.4,24.5,1.4,0.9,10.9,28.0,115,108,5.4,2.4,7.7,0.179,3.2,1.3,4.4,3.4,2.02787878788,3.5946969697,76.303030303,53.1666666667,0.515151515152,0.287878787879,1.92424242424,3.33333333333,2.18965517241
Bobby Portis,2016-17,21,CHI,NBA,64,15.6,6-11,13,1000,6.6,13.5,5.4,10.0,1.2,3.5,1.4,2.1,2.7,8.0,10.7,1.3,0.6,0.4,1.3,3.4,15.7,0.488,0.541,0.333,0.531,0.661,0.545,14.9,0.256,0.157,8.0,24.0,16.0,5.7,0.8,0.9,8.4,19.1,110,107,1.1,1.2,2.4,0.114,-1.6,-1.5,-3.1,-0.3,0.930344827586,3.43034482759,25.2643678161,19.2183908046,0.149425287356,0.0459770114943,0.977011494253,1.94252873563,1.4406779661
Bojan Bogdanovic,2016-17,27,TOT,NBA,81,25.7,6-8,54,2083,6.5,14.6,4.0,7.8,2.5,6.8,3.8,4.2,0.6,4.1,4.8,1.9,0.6,0.1,2.2,2.5,19.2,0.445,0.512,0.367,0.53,0.893,0.585,13.5,0.464,0.288,1.9,12.3,7.2,8.7,0.8,0.3,12.0,22.4,108,114,2.0,0.9,2.9,0.067,-0.1,-2.8,-2.8,-0.4,1.71457446809,4.09244680851,33.3617021277,19.829787234,0.510638297872,0.063829787234,0.904255319149,1.70212765957,1.25
Boris Diaw,2016-17,34,UTA,NBA,73,17.6,6-8,33,1283,4.1,9.2,3.5,6.9,0.6,2.3,0.7,1.0,1.3,3.1,4.4,4.8,0.5,0.3,2.4,2.3,9.5,0.446,0.512,0.247,0.477,0.743,0.494,9.0,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,99,109,-0.1,1.2,1.1,0.041,-2.7,-0.2,-2.9,-0.3,1.11604651163,3.7923255814,32.5581395349,25.7441860465,0.290697674419,0.279069767442,1.04651162791,1.88372093023,1.42857142857
Bradley Beal,2016-17,23,WAS,NBA,77,34.9,6-5,77,2684,8.5,17.7,5.6,10.3,3.0,7.4,3.8,4.6,0.7,2.5,3.2,3.6,1.1,0.3,2.1,2.3,23.9,0.482,0.538,0.404,0.566,0.825,0.604,20.1,0.418,0.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,117,112,6.8,1.6,8.5,0.151,4.5,-2.4,2.2,2.8,2.33053763441,4.00784946237,51.4193548387,29.3010752688,0.806451612903,0.258064516129,1.22580645161,1.96774193548,1.54054054054
Brandon Bass,2016-17,31,LAC,NBA,52,11.1,6-8,0,577,6.7,11.6,6.6,11.4,0.1,0.2,4.8,5.5,2.7,5.4,8.0,1.3,0.9,0.7,1.8,2.8,18.2,0.575,0.579,0.333,0.578,0.875,0.65,19.7,0.016,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,125,109,1.6,0.6,2.2,0.186,0.1,-0.8,-0.7,0.2,0.463522727273,2.53295454545,10.3977272727,7.14772727273,0.102272727273,0.0227272727273,0.420454545455,0.852272727273,1.02777777778
Brandon Ingram,2016-17,19,LAL,NBA,79,28.8,6-9,40,2279,4.4,10.8,3.5,7.9,0.9,3.0,2.1,3.4,0.9,4.1,5.0,2.6,0.8,0.6,1.8,2.5,11.7,0.402,0.443,0.294,0.442,0.621,0.474,8.5,0.273,0.312,2.8,12.8,7.6,10.5,1.1,1.3,12.9,16.8,96,115,-1.0,0.7,-0.3,-0.007,-3.1,-0.7,-3.8,-1.1,2.03217948718,4.25320512821,44.0769230769,31.5,0.358974358974,0.141025641026,1.19230769231,2.02564102564,1.55
Brandon Jennings,2016-17,27,TOT,NBA,81,22.2,6-1,13,1802,3.8,10.7,2.3,5.7,1.6,5.0,2.3,3.0,0.6,3.3,3.9,7.9,1.4,0.1,2.6,2.3,11.5,0.359,0.399,0.313,0.433,0.75,0.479,12.1,0.471,0.284,1.8,10.1,5.9,30.4,1.9,0.2,17.5,17.6,104,113,0.7,1.0,1.7,0.046,-0.8,-2.2,-3.0,-0.4,1.53031914894,4.35893617021,50.0425531915,40.085106383,0.787234042553,0.5,0.489361702128,0.787234042553,1.04545454545
Brandon Knight,2016-17,25,PHO,NBA,54,21.1,6-3,5,1140,6.6,16.6,5.2,12.2,1.4,4.4,4.2,4.9,0.8,2.9,3.7,4.1,0.9,0.2,2.8,2.7,18.8,0.398,0.425,0.324,0.441,0.857,0.502,12.3,0.265,0.293,2.3,9.1,5.6,17.8,1.1,0.4,13.1,25.0,101,116,0.1,0.2,0.3,0.013,-1.5,-3.0,-4.5,-0.7,1.034125,2.84925,29.3125,19.975,0.25,0.175,0.3875,0.6125,1.03333333333
Brook Lopez,2016-17,28,BRK,NBA,75,29.6,7-0,75,2222,9.0,19.0,6.8,12.7,2.2,6.3,4.8,5.9,2.0,4.6,6.5,2.9,0.6,2.0,3.0,3.1,24.9,0.474,0.536,0.346,0.531,0.81,0.578,20.4,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,108,111,3.1,1.8,4.9,0.105,1.9,-0.4,1.5,2.0,1.82481012658,3.72721518987,47.9493670886,27.6835443038,0.417721518987,0.26582278481,2.64556962025,5.48101265823,3.11940298507
Buddy Hield,2016-17,23,TOT,NBA,82,23.0,6-4,55,1888,6.2,14.6,3.4,7.4,2.8,7.2,1.2,1.4,0.7,4.5,5.1,2.3,0.7,0.2,1.9,2.2,16.5,0.426,0.46,0.391,0.522,0.842,0.54,11.8,0.493,0.099,2.0,13.5,7.8,10.3,1.0,0.4,11.2,21.4,100,112,0.0,1.3,1.3,0.032,-0.9,-1.9,-2.8,-0.4,1.76024691358,4.60617283951,32.8765432099,20.7901234568,0.358024691358,0.037037037037,0.987654320988,1.51851851852,1.35593220339
CJ McCollum,2016-17,25,POR,NBA,80,35.0,6-4,80,2796,8.9,18.6,6.5,12.9,2.4,5.7,3.5,3.8,0.8,3.0,3.7,3.7,0.9,0.5,2.2,2.6,23.7,0.48,0.506,0.42,0.544,0.912,0.585,19.9,0.305,0.204,2.4,9.2,5.8,18.0,1.3,1.2,9.9,27.5,114,113,6.2,1.4,7.6,0.131,3.3,-2.2,1.0,2.1,2.48470588235,4.29447058824,61.6823529412,37.9529411765,0.929411764706,0.235294117647,1.17647058824,2.25882352941,1.47058823529
CJ Miles,2016-17,29,IND,NBA,76,23.4,6-6,29,1776,5.7,13.1,2.3,4.8,3.4,8.3,1.7,1.9,0.6,4.0,4.6,1.0,0.9,0.5,0.8,3.1,16.5,0.434,0.471,0.413,0.565,0.903,0.592,13.7,0.632,0.144,1.9,12.4,7.2,4.1,1.3,1.2,5.5,18.4,115,111,2.7,1.4,4.0,0.109,1.5,-2.1,-0.5,0.7,1.509875,3.910375,25.425,15.825,0.275,0.1,0.675,1.2,1.05882352941
CJ Watson,2016-17,32,ORL,NBA,62,16.3,6-2,9,1012,3.4,8.8,2.3,5.1,1.1,3.7,2.0,2.3,0.6,2.6,3.2,4.1,1.5,0.1,1.7,3.0,10.0,0.387,0.448,0.305,0.452,0.864,0.507,9.3,0.423,0.266,1.7,8.1,4.8,16.1,2.1,0.2,14.5,14.1,103,112,0.2,0.6,0.9,0.041,-2.5,-1.1,-3.6,-0.4,0.918205128205,3.34153846154,20.6923076923,15.9743589744,0.307692307692,0.153846153846,0.397435897436,0.576923076923,1.0
Caris LeVert,2016-17,22,BRK,NBA,57,21.7,6-7,26,1237,5.0,11.1,3.3,5.7,1.7,5.4,1.9,2.7,0.7,4.8,5.5,3.2,1.4,0.2,1.7,2.6,13.6,0.45,0.571,0.321,0.528,0.72,0.556,12.2,0.484,0.245,2.0,13.9,8.0,13.7,1.9,0.5,12.3,16.6,107,111,0.8,1.0,1.8,0.07,-0.7,-0.4,-1.1,0.3,1.40475409836,3.88590163934,27.8360655738,19.0983606557,0.426229508197,0.0983606557377,0.983606557377,1.59016393443,1.39534883721
Carmelo Anthony,2016-17,32,NYK,NBA,74,34.3,6-8,74,2538,8.5,19.7,6.4,13.7,2.1,6.0,4.3,5.2,0.9,5.3,6.2,3.0,0.9,0.5,2.2,2.8,23.5,0.433,0.466,0.359,0.488,0.833,0.535,17.9,0.303,0.263,2.6,15.9,9.3,14.5,1.2,1.1,9.0,29.1,108,113,3.2,1.5,4.7,0.089,1.5,-2.2,-0.7,0.8,2.10233766234,3.66428571429,57.9480519481,34.2987012987,0.545454545455,0.168831168831,1.36363636364,2.63636363636,1.59090909091
Channing Frye,2016-17,33,CLE,NBA,74,18.9,6-11,15,1398,6.1,13.4,2.6,4.8,3.5,8.6,1.6,1.9,1.0,6.5,7.5,1.2,0.8,1.0,1.4,3.6,17.4,0.458,0.546,0.409,0.589,0.851,0.612,15.6,0.644,0.142,3.0,19.3,11.4,4.9,1.2,2.1,8.8,19.3,115,109,2.3,1.4,3.7,0.125,0.8,-1.5,-0.6,0.5,1.08311827957,3.66688172043,29.5591397849,21.5483870968,0.376344086022,0.10752688172,2.21505376344,4.27956989247,2.51219512195
Chris Paul,2016-17,31,LAC,NBA,61,31.5,6-0,61,1921,7.0,14.7,4.7,9.1,2.3,5.7,4.3,4.9,0.8,4.9,5.7,10.6,2.2,0.1,2.8,2.7,20.7,0.476,0.518,0.411,0.555,0.892,0.614,26.2,0.385,0.331,2.5,14.9,8.8,46.8,3.1,0.3,14.0,24.4,126,106,8.0,2.6,10.6,0.264,7.8,1.0,8.7,5.2,1.78487179487,3.34487179487,74.358974359,54.6923076923,1.25641025641,0.935897435897,0.923076923077,1.5,1.26315789474
Clint Capela,2016-17,22,HOU,NBA,65,23.9,6-10,59,1551,8.4,13.1,8.4,13.1,0.0,0.0,2.2,4.1,4.1,8.1,12.2,1.5,0.8,1.9,2.0,4.2,19.0,0.643,0.643,,0.643,0.531,0.638,21.4,0.0,0.314,12.5,24.5,18.5,6.9,1.1,4.2,12.0,19.9,122,106,3.9,2.1,6.0,0.185,0.0,1.0,1.0,1.2,1.61037974684,4.02455696203,41.8607594937,30.9746835443,0.46835443038,0.113924050633,3.54430379747,7.13924050633,3.78378378378
Cody Zeller,2016-17,24,CHO,NBA,62,27.8,7-0,58,1725,5.3,9.2,5.3,9.2,0.0,0.0,2.8,4.1,2.8,5.6,8.5,2.1,1.3,1.2,1.4,3.9,13.3,0.571,0.572,0.0,0.571,0.679,0.604,16.7,0.002,0.442,8.6,17.3,12.9,9.1,1.8,3.0,10.9,15.5,121,107,3.4,2.2,5.6,0.157,-0.2,2.3,2.1,1.8,1.91609375,4.1325,29.5,19.84375,0.4375,0.171875,3.390625,6.484375,3.55737704918
Corey Brewer,2016-17,30,TOT,NBA,82,15.6,6-9,11,1281,4.1,9.8,3.4,6.5,0.8,3.3,1.4,1.9,0.9,3.8,4.7,2.7,1.7,0.5,1.5,3.7,10.4,0.422,0.522,0.229,0.461,0.735,0.491,9.1,0.339,0.195,2.7,11.5,7.1,10.7,2.3,1.2,12.7,14.3,101,110,0.0,1.2,1.2,0.045,-2.9,0.2,-2.7,-0.2,1.06456790123,4.18049382716,16.5061728395,11.2222222222,0.222222222222,0.111111111111,0.592592592593,1.12345679012,0.96
Cory Joseph,2016-17,25,TOR,NBA,80,25.0,6-3,22,2003,5.4,11.9,4.5,9.5,0.9,2.4,1.7,2.2,0.9,3.3,4.2,4.8,1.2,0.2,1.9,2.5,13.3,0.452,0.477,0.356,0.489,0.77,0.518,13.2,0.204,0.185,2.9,10.4,6.6,20.0,1.7,0.6,13.1,18.4,108,110,1.7,1.7,3.4,0.082,-0.4,-0.4,-0.8,0.6,1.78604395604,4.40549450549,50.3406593407,38.1098901099,0.527472527473,0.263736263736,1.23076923077,2.06593406593,1.6
Courtney Lee,2016-17,31,NYK,NBA,77,31.9,6-5,74,2459,4.7,10.3,3.1,6.4,1.6,3.9,1.2,1.4,0.8,3.0,3.8,2.6,1.2,0.3,1.0,2.1,12.2,0.456,0.49,0.401,0.533,0.867,0.559,12.1,0.382,0.139,2.3,9.1,5.7,10.6,1.6,0.8,8.5,14.4,115,114,3.1,1.1,4.2,0.081,0.5,-0.7,-0.2,1.1,2.18607594937,4.09430379747,41.5949367089,30.0886075949,0.645569620253,0.20253164557,1.17721518987,1.6835443038,1.5
Cristiano Felicio,2016-17,24,CHI,NBA,66,15.8,6-10,0,1040,4.4,7.7,4.4,7.7,0.0,0.0,2.1,3.2,4.3,6.5,10.8,1.4,0.9,0.6,1.1,3.8,10.9,0.577,0.577,,0.577,0.645,0.601,15.2,0.0,0.419,12.8,19.5,16.1,5.7,1.2,1.2,11.2,12.4,126,107,2.1,1.3,3.4,0.157,-0.6,0.5,-0.1,0.5,0.939156626506,3.63277108434,19.4698795181,15.1325301205,0.301204819277,0.0240963855422,1.69879518072,3.09638554217,2.16923076923
D'Angelo Russell,2016-17,20,LAL,NBA,63,28.7,6-5,60,1811,7.0,17.2,4.3,9.6,2.7,7.6,2.9,3.7,0.6,3.8,4.4,6.0,1.7,0.3,3.5,2.6,19.6,0.405,0.447,0.352,0.483,0.782,0.518,15.3,0.443,0.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6,101,113,0.3,1.0,1.3,0.034,1.1,-1.6,-0.5,0.7,1.99693548387,4.2614516129,67.3548387097,48.0322580645,0.935483870968,0.564516129032,0.951612903226,1.53225806452,1.31111111111
DJ Augustin,2016-17,29,ORL,NBA,78,19.7,6-0,20,1538,4.6,12.1,2.3,5.7,2.2,6.4,3.1,3.8,0.4,2.4,2.7,4.9,0.7,0.0,2.1,2.4,14.4,0.377,0.412,0.347,0.469,0.814,0.524,11.0,0.53,0.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4,104,115,0.7,0.5,1.2,0.038,-0.9,-3.3,-4.2,-0.9,1.25646341463,3.80743902439,40.7682926829,30.7804878049,0.707317073171,0.341463414634,0.475609756098,0.646341463415,1.0
Damian Lillard,2016-17,26,POR,NBA,75,35.9,6-3,75,2694,8.8,19.9,6.0,12.2,2.9,7.7,6.5,7.3,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,0.444,0.491,0.37,0.516,0.895,0.586,24.1,0.388,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,118,113,8.8,1.5,10.3,0.184,6.4,-2.0,4.3,4.3,2.365,3.984625,81.6875,54.55,1.3625,0.675,0.8125,1.425,1.16071428571
